sampleID	name	sample	treatment	identity	dpr	replicate	dynamics	order	boxplots	boxplots_2	days
G03278	bL_1	bL	bL	inoculate	0d	1	y	1	bE	bE	0
G03279	bL_2	bL	bL	inoculate	0d	2	y	1	bE	bE	0
G03280	bL_3	bL	bL	inoculate	0d	3	y	1	bE	bE	0
G03281	bL_4	bL	bL	inoculate	0d	4	y	1	bE	bE	0
G03282	bL_5	bL	bL	inoculate	0d	5	y	1	bE	bE	0
G03283	bJ_1	bJ	bJ	inoculate	0d	6	y	6	bJ	bJ	0
G03284	bJ_2	bJ	bJ	inoculate	0d	7	y	6	bJ	bJ	0
G03285	bJ_3	bJ	bJ	inoculate	0d	8	y	6	bJ	bJ	0
G03286	bJ_4	bJ	bJ	inoculate	0d	9	y	6	bJ	bJ	0
G03287	bJ_5	bJ	bJ	inoculate	0d	10	y	6	bJ	bJ	0
G03288	bA_1	bA	bA	inoculate	0d	11	y	11	bA	bA	0
G03289	bA_2	bA	bA	inoculate	0d	12	y	11	bA	bA	0
G03290	bA_3	bA	bA	inoculate	0d	13	y	11	bA	bA	0
G03291	bA_4	bA	bA	inoculate	0d	14	y	11	bA	bA	0
G03292	bA_5	bA	bA	inoculate	0d	15	y	11	bA	bA	0
G03303	bL_A_2d_1	bL_A_2d	bL	recol_2d	2d	1	y	2	recol_2d	bA_2d	2
G03304	bL_A_2d_2	bL_A_2d	bL	recol_2d	2d	2	y	2	recol_2d	bA_2d	2
G03305	bL_A_2d_3	bL_A_2d	bL	recol_2d	2d	3	y	2	recol_2d	bA_2d	2
G03306	bL_A_2d_4	bL_A_2d	bL	recol_2d	2d	4	y	2	recol_2d	bA_2d	2
G03307	bL_A_2d_5	bL_A_2d	bL	recol_2d	2d	5	y	2	recol_2d	bA_2d	2
G03308	bJ_A_2d_1	bJ_A_2d	bJ	recol_2d	2d	6	y	7	recol_4d	bE_4d	2
G03309	bJ_A_2d_2	bJ_A_2d	bJ	recol_2d	2d	7	y	7	recol_4d	bE_4d	2
G03310	bJ_A_2d_3	bJ_A_2d	bJ	recol_2d	2d	8	y	7	recol_4d	bE_4d	2
G03311	bJ_A_2d_4	bJ_A_2d	bJ	recol_2d	2d	9	y	7	recol_4d	bE_4d	2
G03312	bJ_A_2d_5	bJ_A_2d	bJ	recol_2d	2d	10	y	7	recol_4d	bE_4d	2
G03313	bA_A_2d_1	bA_A_2d	bA	recol_2d	2d	11	y	12	recol_4d	bJ_4d	2
G03314	bA_A_2d_2	bA_A_2d	bA	recol_2d	2d	12	y	12	recol_4d	bJ_4d	2
G03315	bA_A_2d_3	bA_A_2d	bA	recol_2d	2d	13	y	12	recol_4d	bJ_4d	2
G03316	bA_A_28d_5	bA_A_28d	bA	recol_28d	28d	15	y	15	recol_4d	bJ_4d	28
G03317	bA_A_2d_4	bA_A_2d	bA	recol_2d	2d	14	y	12	recol_4d	bJ_4d	2
G03318	bA_A_2d_5	bA_A_2d	bA	recol_2d	2d	15	y	12	recol_4d	bA_4d	2
G03324	bL_A_7d_1	bL_A_7d	bL	recol_7d	7d	1	y	3	recol_7d	bE_7d	7
G03325	bL_A_7d_2	bL_A_7d	bL	recol_7d	7d	2	y	3	recol_7d	bE_7d	7
G03326	bL_A_7d_3	bL_A_7d	bL	recol_7d	7d	3	y	3	recol_7d	bE_7d	7
G03327	bL_A_7d_4	bL_A_7d	bL	recol_7d	7d	4	y	3	recol_7d	bE_7d	7
G03328	bL_A_7d_5	bL_A_7d	bL	recol_7d	7d	5	y	3	recol_7d	bJ_7d	7
G03329	bJ_A_7d_1	bJ_A_7d	bJ	recol_7d	7d	6	y	8	recol_7d	bJ_7d	7
G03330	bJ_A_7d_2	bJ_A_7d	bJ	recol_7d	7d	7	y	8	recol_7d	bJ_7d	7
G03331	bJ_A_7d_3	bJ_A_7d	bJ	recol_7d	7d	8	y	8	recol_7d	bJ_7d	7
G03332	bJ_A_7d_4	bJ_A_7d	bJ	recol_7d	7d	9	y	8	recol_7d	bJ_7d	7
G03333	bJ_A_7d_5	bJ_A_7d	bJ	recol_7d	7d	10	y	8	recol_7d	bA_7d	7
G03334	bA_A_7d_1	bA_A_7d	bA	recol_7d	7d	11	y	13	recol_7d	bA_7d	7
G03335	bA_A_7d_2	bA_A_7d	bA	recol_7d	7d	12	y	13	recol_7d	bA_7d	7
G03336	bA_A_7d_3	bA_A_7d	bA	recol_7d	7d	13	y	13	recol_7d	bA_7d	7
G03337	bA_A_7d_4	bA_A_7d	bA	recol_7d	7d	14	y	13	recol_7d	bA_7d	7
G03338	bA_A_7d_5	bA_A_7d	bA	recol_7d	7d	15	y	13	recol_14d	bE_14d	7
G03344	bL_A_14d_1	bL_A_14d	bL	recol_14d	14d	1	y	4	recol_14d	bJ_14d	14
G03345	bL_A_14d_2	bL_A_14d	bL	recol_14d	14d	2	y	4	recol_14d	bJ_14d	14
G03346	bL_A_14d_3	bL_A_14d	bL	recol_14d	14d	3	y	4	recol_14d	bJ_14d	14
G03347	bL_A_14d_4	bL_A_14d	bL	recol_14d	14d	4	y	4	recol_14d	bJ_14d	14
G03348	bL_A_14d_5	bL_A_14d	bL	recol_14d	14d	5	y	4	recol_14d	bA_14d	14
G03349	bJ_A_14d_1	bJ_A_14d	bJ	recol_14d	14d	6	y	9	recol_14d	bA_14d	14
G03350	bJ_A_14d_2	bJ_A_14d	bJ	recol_14d	14d	7	y	9	recol_14d	bA_14d	14
G03351	bJ_A_14d_3	bJ_A_14d	bJ	recol_14d	14d	8	y	9	recol_14d	bA_14d	14
G03352	bJ_A_14d_4	bJ_A_14d	bJ	recol_14d	14d	9	y	9	recol_14d	bA_14d	14
G03353	bJ_A_14d_5	bJ_A_14d	bJ	recol_14d	14d	10	y	9	recol_21d	bE_21d	14
G03354	bA_A_14d_1	bA_A_14d	bA	recol_14d	14d	11	y	14	recol_21d	bE_21d	14
G03355	bA_A_14d_2	bA_A_14d	bA	recol_14d	14d	12	y	14	recol_21d	bE_21d	14
G03356	bA_A_14d_3	bA_A_14d	bA	recol_14d	14d	13	y	14	recol_21d	bE_21d	14
G03357	bA_A_14d_4	bA_A_14d	bA	recol_14d	14d	14	y	14	recol_21d	bE_21d	14
G03358	bA_A_14d_5	bA_A_14d	bA	recol_14d	14d	15	y	14	recol_21d	bJ_21d	14
G03369	bL_A_28d_1	bL_A_28d	bL	recol_28d	28d	1	y	5	recol_28d	bE_28d	28
G03370	bL_A_28d_2	bL_A_28d	bL	recol_28d	28d	2	y	5	recol_28d	bE_28d	28
G03371	bL_A_28d_3	bL_A_28d	bL	recol_28d	28d	3	y	5	recol_28d	bE_28d	28
G03372	bL_A_28d_4	bL_A_28d	bL	recol_28d	28d	4	y	5	recol_28d	bE_28d	28
G03373	bL_A_28d_5	bL_A_28d	bL	recol_28d	28d	5	y	5	recol_28d	bJ_28d	28
G03374	bJ_A_28d_1	bJ_A_28d	bJ	recol_28d	28d	6	y	10	recol_28d	bJ_28d	28
G03375	bJ_A_28d_2	bJ_A_28d	bJ	recol_28d	28d	7	y	10	recol_28d	bJ_28d	28
G03376	bJ_A_28d_3	bJ_A_28d	bJ	recol_28d	28d	8	y	10	recol_28d	bJ_28d	28
G03377	bJ_A_28d_4	bJ_A_28d	bJ	recol_28d	28d	9	y	10	recol_28d	bJ_28d	28
G03378	bJ_A_28d_5	bJ_A_28d	bJ	recol_28d	28d	10	y	10	recol_28d	bA_28d	28
G03379	bA_A_28d_1	bA_A_28d	bA	recol_28d	28d	11	y	15	recol_28d	bA_28d	28
G03380	bA_A_28d_2	bA_A_28d	bA	recol_28d	28d	12	y	15	recol_28d	bA_28d	28
G03381	bA_A_28d_3	bA_A_28d	bA	recol_28d	28d	13	y	15	recol_28d	bA_28d	28
G03382	bA_A_28d_4	bA_A_28d	bA	recol_28d	28d	14	y	15	recol_28d	bA_28d	28
